Attribute ID,Attribute Category,Attribute Name,Reference Notation (if applicable),Suggested / Common  Notation,Scientific Measurement / Description,Unit Name,Standard Unit (UoM),Reference Organisation,RO Link,Range of Measurement,Unit Conversion Factors
AM1,Air Monitoring,PM 1.0,,PM1_0,Particulate Matter (aerodynamic diameter equal or less than 1 µm)  ,micrograms per cubic metre,µg/m3,N/A,,,"1 µg/m3 = 0.001 mg/m3, µg/m3 = 0.0409 x concentration (ppb) x molecular weight "
AM2,Air Monitoring,PM 2.5,,PM2_5,Particulate Matter (aerodynamic diameter equal or less than 2.5 µm),micrograms per cubic metre,µg/m3,WHO/FRL,"https://apps.who.int/iris/handle/10665/345329, https://www.legislation.gov.au/Details/F2021C00475",,"1 µg/m3 = 0.001 mg/m3, µg/m3 = 0.0409 x concentration (ppb) x molecular weight "
AM3,Air Monitoring,PM 4.0,,PM4_0,Particulate Matter (aerodynamic diameter equal or less than 4 µm),micrograms per cubic metre,µg/m3,N/A,,,"1 µg/m3 = 0.001 mg/m3, µg/m3 = 0.0409 x concentration (ppb) x molecular weight "
AM4,Air Monitoring,PM 10,,PM10,Particulate Matter (aerodynamic diameter less than 10 µm),micrograms per cubic metre,µg/m3,WHO/FRL,"https://apps.who.int/iris/handle/10665/345329, https://www.legislation.gov.au/Details/F2021C00475",,"1 µg/m3 = 0.001 mg/m3, µg/m3 = 0.0409 x concentration (ppb) x molecular weight "
EC1,Electronic Components,Bandwidth,,connectionRate,Data signalling rate; network transmission capacity,bits per second,bps,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-06-04,,
EC2,Electronic Components,Battery,batteryVoltage,batteryVoltage,Current flow (potential difference of electromotive force),voltage,V,BIPM,https://www.bipm.org/documents/20126/41483022/SI-Brochure-9-EN.pdf,,"1 V = 0.001 kV, 1 V = 1,000 mV"
EC3,Electronic Components,Battery Capacity,,battery_mAh,Battery current dishcharge over time,milliamp hour,mAh,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-14,,1 mAh = 0.001 Ah
EC4,Electronic Components,Battery Percent,,batteryPercent,Battery power level percentage (based on power capacity),percentage,%,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-06,0-100%,
EC5,Electronic Components,Charging Status,,chargingStatus,Device charging status (charging/not charging),alphanumerical,Y/N,N/A,,Yes/No,
EC6,Electronic Components,Date and Time,dateTime,dateTime,Date and Time in UTC format,yyyy-mm-ddT00:00:00Z,N/A,BOM / DPIRD,"http://www.bom.gov.au/schema/cap-au/v3_0/capauv3-0_schema-v1-1.xsd, https://weather.agric.wa.gov.au/developer-api",,
EC7,Electronic Components,Electric Current,,elecCurrentA,Rate of electrical flow (1 coulomb per second),ampere,A,BIPM / WMO,"https://www.bipm.org/documents/20126/41483022/SI-Brochure-9-EN.pdf, http://codes.wmo.int/common/unit/_A",,"1 A = 1,000 mA, 1 A = 1,000,000 µA"
EC8,Electronic Components,Fan Speed,,fanSpeed,Rotational speed of fan,revolutions per minute,rpm,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-05-30,,
EC9,Electronic Components,Fan Status,,fanStatus,Working status of fan; working/not working,alphanumerical,Y/N,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-01,Yes/No,
EC10,Electronic Components,Power Status,,powerStatus,Device power status (receiving power/not receiving power),alphanumerical,Y/N,IEC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-01,Yes/No,
EC11,Electronic Components,Probe Height,probeHeight,probeHeight,Probe height above ground,metres,m,DPIRD,https://weather.agric.wa.gov.au/developer-api,,1 m = 3.28084 ft
EC12,Electronic Components,Rain Gauge Height,rainGaugeHeight,rainGaugeHeight,Gauge height above ground,metres,m,DPIRD,https://weather.agric.wa.gov.au/developer-api,,1 m = 3.28084 ft
EC13,Electronic Components,Signal Level,,signallevel,Power ratio in decibels to one milliwatt,decibel milliwatts,dBm,BIPM,https://www.bipm.org/documents/20126/41865219/DIR2013-Supplement.pdf,,1 dBm = 1.3 mW
EC14,Electronic Components,Solar Panel,,kWh,Energy generated from solar panel,kilowatt hours,kWh,FRL,https://www.legislation.gov.au/Details/C2019C00061,,1 kWh = 3.6 MJ
EC15,Electronic Components,Wind Probe Height,windProbeHeights,windProbeHeights,Wind probe height above ground,metres,m,DPIRD,https://api.dpird.wa.gov.au/v2/weather/openapi/swagger.yaml,,1 m = 3.28084 ft
MS1,Movement Sensors,Accelerometer-X,,X,Acceleration on X-axis,metre per square second,m/s2,IEC / WMO,"https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-38, http://codes.wmo.int/common/unit/_m_s-2",,1 m/s2 = 0.10197162129779 g-unit
MS2,Movement Sensors,Accelerometer-Y,,Y,Acceleration on Y-axis,metre per square second,m/s2,IEC / WMO,"https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-38, http://codes.wmo.int/common/unit/_m_s-2",,1 m/s2 = 0.10197162129779 g-unit
MS3,Movement Sensors,Accelerometer-Z,,Z,Acceleration on Z-axis,metre per square second,m/s2,IEC / WMO,"https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-38, http://codes.wmo.int/common/unit/_m_s-2",,1 m/s2 = 0.10197162129779 g-unit
MS4,Movement Sensors,Altitude,altitude,altitude,Height above sea level,metres,m,BOM / DPIRD / WMO,"http://www.bom.gov.au/schema/cap-au/v3_0/capauv3-0_schema-v1-1.xsd, https://weather.agric.wa.gov.au/developer-api, http://codes.wmo.int/grib2/codeflag/4.5/102",,"1 m = 0.001 km, 1 m = 0.000621371 mi"
MS5,Movement Sensors,Count,,count,Counter (cumulative),numerical,,N/A,,>0,
MS6,Movement Sensors,Distance,,distance,Distance between two GPS coordinates,metres,m,WMO,http://codes.wmo.int/bufr4/b/06/021,,"1 m = 0.001 km, 1 m = 0.000621371 mi"
MS7,Movement Sensors,Heart Rate,,heartRate,Heart rate using monitoring device ,numerical,bpm,N/A,,>0,
MS8,Movement Sensors,Latitude,latitude,latitude,Latitude location using GPS tracking device,degrees decimal,°,WMO,http://codes.wmo.int/bufr4/b/27/001,-90° to 90°,
MS9,Movement Sensors,Longitute,longitute,longitute,Longitutde location using GPS tracking device,degrees decimal,°,WMO,http://codes.wmo.int/bufr4/b/28/001,-180° to 180°,
MS10,Movement Sensors,Number of events,numberOfEvents,numberOfEvents,Count of events,numerical,,DPIRD,https://weather.agric.wa.gov.au/developer-api,>0,
MS11,Movement Sensors,Status,status,status,Gate/door sensor; status - open/closed,alphanumerical,O/C,N/A,,Open/Close,
MS12,Movement Sensors,Temperature,,animalTemperature,Animal temperature using monitoring device ,degrees Celsius,°C,OIML,https://www.oiml.org/en/files/pdf_r/r115-e95.pdf/view,,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
SM1,Soil Monitoring,AEC,,AEC_soil,Anion Exchange Capacity,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM2,Soil Monitoring,Al Saturation,aluminium_concentration,Al_soil_sat,Al saturation percentage ,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM3,Soil Monitoring,Aluminium (Al),aluminium_concentration,Al_soil,Al concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply % by 10^4 to report in mg/kg 
SM4,Soil Monitoring,Ammonium-N (NH4-N),ammonium_as_N_concentration,NH4-N_soil,Concentration of ammonium as nitrogen,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM5,Soil Monitoring,Anion Storage Capacity,,ASC_soil,Previously P retention,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM6,Soil Monitoring,Arsenic (As),arsenic_concentration,As_soil,As content,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM7,Soil Monitoring,Base Saturation Percentage (BSP),base_saturation_percentage,BSP_soil,Saturation of bases,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM8,Soil Monitoring,Boron (B),boron_concentration,B_soil,B concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM9,Soil Monitoring,Bulk Density,bulk_density_soil,BD_soil,Measure of soil (ratio of mass to volume),grams per cubic centimetre ,g/cm3,ASRIS / SPMILE,"https://asris.csiro.au/, https://www.publish.csiro.au/book/3147",,"1 g/cm3 = 1,000 kg/m3"
SM10,Soil Monitoring,Cadmium (Cd),cadmium_concentration,Cd_soil,Cd concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
SM11,Soil Monitoring,Calcium (Ca),calcium_concentration,Ca_soil,Ca concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,multiply % by 10^4 to report in mg/kg 
SM12,Soil Monitoring,Calcium Mehlich 3,calcium_concentration,Ca_soil_meh3,Ca content (Mehlich 3),milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb, divide mg/kg by 10^4 to report in %"
SM13,Soil Monitoring,Calcium Carbonate (CaCO3),calcium_carbonate_concentration,CaCO3_soil,CaCO3 concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM14,Soil Monitoring,Carbon (C),carbon_concentration,C_soil,Total C concentration,percentage,%,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,
SM15,Soil Monitoring,CEC,cation_exchange_capacity,CEC_soil,Cation Exchange Capacity,milliequivalents per hectogram,meq/hg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,1 meq/hg = 1 cmol(+)/kg
SM16,Soil Monitoring,Chloride (Cl),chloride_concentration,Cl_soil,Cl concentration,milligrams per kilogram,mg/kg,CSIRO SCMA,https://www.publish.csiro.au/book/6418,,"1 mg/kg = 1 ppm, 1 mg/kg = 1,000 ppb"
